,Bid,Ask
2018-06-29 14:55:11.022,1.16658,1.16658
2018-06-29 14:55:11.024,1.16659,1.16658
2018-06-29 14:55:11.034,1.16658,1.16659
2018-06-29 14:55:11.055,1.16658,1.16658
2018-06-29 14:55:11.066,1.16658,1.1666
2018-06-29 14:55:11.079,1.16658,1.16659
2018-06-29 14:55:11.237,1.16657,1.16659
2018-06-29 14:55:11.720,1.16657,1.16658
2018-06-29 14:55:11.724,1.16657,1.16657
2018-06-29 14:55:11.726,1.16655,1.16658
2018-06-29 14:55:11.728,1.16655,1.16657
2018-06-29 14:55:11.736,1.16655,1.16655
2018-06-29 14:55:11.739,1.16655,1.16656
2018-06-29 14:55:11.751,1.16656,1.16657
2018-06-29 14:55:11.760,1.16654,1.16657
2018-06-29 14:55:11.766,1.16654,1.16656
2018-06-29 14:55:11.783,1.16655,1.16656
2018-06-29 14:55:11.787,1.16655,1.16657
2018-06-29 14:55:11.791,1.16655,1.16655
2018-06-29 14:55:11.805,1.16654,1.16656
2018-06-29 14:55:12.017,1.16656,1.16656
2018-06-29 14:55:12.020,1.16656,1.16657
2018-06-29 14:55:12.084,1.16657,1.16658
2018-06-29 14:55:12.104,1.16658,1.16658
2018-06-29 14:55:12.109,1.16657,1.16659
2018-06-29 14:55:12.121,1.16658,1.16659
2018-06-29 14:55:12.130,1.1666,1.16659
2018-06-29 14:55:12.142,1.1666,1.1666
2018-06-29 14:55:12.170,1.1666,1.1666100000000001
2018-06-29 14:55:12.254,1.1666,1.16662
2018-06-29 14:55:12.257,1.1666100000000001,1.16662
2018-06-29 14:55:12.271,1.1666299999999998,1.16662
2018-06-29 14:55:12.275,1.1666299999999998,1.1666299999999998
2018-06-29 14:55:12.286,1.16662,1.1666299999999998
2018-06-29 14:55:12.290,1.16662,1.16664
2018-06-29 14:55:12.296,1.1666100000000001,1.16664
2018-06-29 14:55:12.301,1.1666299999999998,1.16664
2018-06-29 14:55:12.360,1.1666299999999998,1.16665
2018-06-29 14:55:12.379,1.1666299999999998,1.16664
2018-06-29 14:55:12.418,1.16662,1.16664
2018-06-29 14:55:12.466,1.16662,1.1666299999999998
2018-06-29 14:55:12.561,1.16662,1.16662
2018-06-29 14:55:12.571,1.16662,1.1666299999999998
2018-06-29 14:55:12.678,1.1666100000000001,1.1666299999999998
2018-06-29 14:55:13.082,1.1666100000000001,1.16662
2018-06-29 14:55:13.102,1.1666,1.16662
2018-06-29 14:55:13.105,1.1666,1.1666100000000001
2018-06-29 14:55:13.141,1.16659,1.1666100000000001
2018-06-29 14:55:13.511,1.1666,1.16662
2018-06-29 14:55:13.513,1.1666100000000001,1.16662
2018-06-29 14:55:13.524,1.16662,1.16662
2018-06-29 14:55:13.526,1.1666100000000001,1.16662
2018-06-29 14:55:13.543,1.1666100000000001,1.1666299999999998
2018-06-29 14:55:13.804,1.16662,1.1666299999999998
2018-06-29 14:55:13.806,1.16662,1.16664
2018-06-29 14:55:13.810,1.1666299999999998,1.16664
2018-06-29 14:55:13.814,1.16662,1.16664
2018-06-29 14:55:13.819,1.1666299999999998,1.16664
2018-06-29 14:55:13.821,1.16662,1.16664
2018-06-29 14:55:13.827,1.1666299999999998,1.16665
2018-06-29 14:55:13.831,1.16662,1.16665
2018-06-29 14:55:13.838,1.16665,1.16665
2018-06-29 14:55:13.845,1.1666299999999998,1.16665
2018-06-29 14:55:13.852,1.16662,1.16665
2018-06-29 14:55:13.854,1.1666299999999998,1.16665
2018-06-29 14:55:13.856,1.1666299999999998,1.16664
2018-06-29 14:55:14.063,1.1666299999999998,1.16665
2018-06-29 14:55:14.088,1.1666299999999998,1.16664
2018-06-29 14:55:14.140,1.1666299999999998,1.1666299999999998
2018-06-29 14:55:14.142,1.1666299999999998,1.16665
2018-06-29 14:55:14.256,1.1666299999999998,1.16664
2018-06-29 14:55:14.258,1.16662,1.16664
2018-06-29 14:55:14.298,1.16662,1.1666299999999998
2018-06-29 14:55:14.509,1.16662,1.16665
2018-06-29 14:55:14.511,1.16664,1.16665
2018-06-29 14:55:14.515,1.16666,1.16665
2018-06-29 14:55:14.520,1.16664,1.16665
2018-06-29 14:55:14.526,1.16664,1.16666
2018-06-29 14:55:14.529,1.16666,1.16666
2018-06-29 14:55:14.540,1.16666,1.16667
2018-06-29 14:55:14.557,1.16666,1.16666
2018-06-29 14:55:14.563,1.16666,1.16667
2018-06-29 14:55:14.565,1.16665,1.16667
2018-06-29 14:55:14.624,1.16664,1.16667
2018-06-29 14:55:14.665,1.16664,1.16666
2018-06-29 14:55:14.716,1.16664,1.16667
2018-06-29 14:55:14.757,1.16664,1.16666
2018-06-29 14:55:14.825,1.16664,1.16665
